train_loss,test_clean_acc,test_clean_loss,test_asr,test_asr_loss,epoch
2.292655375466418,0.1135,2.2967112489566683,1.0,1.7712720761633223,0
2.2390615629997335,0.1135,2.2768150545229577,1.0,1.7962732117646818,1
2.1884606855510396,0.4441,2.0584060986330557,0.4138,2.074512893227255,2
1.8766288187966418,0.7834,1.7098386507884713,0.2238,2.2222567697998823,3
1.7450460015075293,0.7997,1.6737829765696435,0.3277,2.1265468521482624,4
1.6982825305670308,0.8194,1.6557664688985059,0.8312,1.6354825853542159,5
1.6456155675306503,0.8239,1.6465647987499359,0.989,1.4771923874593844,6
1.628992011552172,0.8326,1.6330172582796425,0.9946,1.4687226798124373,7
1.6202819433801972,0.8404,1.6255181230557192,0.9977,1.465968628597867,8
1.6145659814765458,0.8466,1.6201906978704368,0.9975,1.4651125160751828,9
1.609151421325293,0.8506,1.6154023249437854,0.998,1.4646690074045947,10
1.6048174046758394,0.8521,1.6131483711254824,0.9996,1.462288967363394,11
1.6010606843017057,0.8549,1.611693858341047,0.9995,1.4625015721958914,12
1.597377492420709,0.8498,1.6147787320386073,0.9999,1.4613235277734744,13
1.5947864264059168,0.859,1.6054210435053347,0.9999,1.4617812618328507,14
1.5919941656116738,0.8653,1.600247981442008,0.9997,1.4618500744461254,15
1.5896836791211353,0.8651,1.5992171696037243,0.9999,1.4615733122370045,16
1.587625922424707,0.867,1.5969860918202978,0.9997,1.4618238742184486,17
1.5857304489688833,0.8695,1.5949528771600905,0.9998,1.4618235530367323,18
1.5836996310301172,0.8707,1.593749404712847,0.9993,1.4624021258323816,19
1.5821828618486806,0.8727,1.5915891562297846,0.9997,1.461673139766523,20
1.5804617745535714,0.8723,1.5915559598594715,0.9999,1.4614898991432919,21
1.5790432602611941,0.8747,1.589296419909046,0.9993,1.462205738019032,22
1.5775758137326759,0.8771,1.5868112258850389,0.9999,1.4614401660907042,23
1.5761975123684036,0.8774,1.5865192481666615,0.9998,1.4616080841441064,24
1.575163168185301,0.8757,1.5884384721707387,1.0,1.4611962054185808,25
1.5738369223913913,0.8797,1.5832770455415082,0.9999,1.4615379427648654,26
1.5730212116038114,0.8781,1.5847210663898734,0.9998,1.4614825142416985,27
1.5720291625716285,0.8813,1.5813380502591468,0.9994,1.462054546471614,28
1.5709414614289046,0.8802,1.5827895418094222,0.9996,1.461779977105985,29
1.5702159369169777,0.8815,1.5814268482718499,0.9994,1.4618032046943714,30
1.5694267744702826,0.881,1.5812660121614006,0.9996,1.4617910005484418,31
1.5686701467550639,0.884,1.580633680531933,0.9995,1.461755577925664,32
1.568043137410048,0.8833,1.5785411945573844,0.9998,1.4613733238475337,33
1.5669335729277718,0.8856,1.5782930987655737,0.9999,1.4614599533141799,34
1.5666280067297442,0.8847,1.5786936723502578,0.9998,1.4613884535564738,35
1.5658366319213086,0.8859,1.5767982264233242,0.9994,1.461856292311553,36
